# year,hare,lynx,carrot
1900,3.00E+04,4.00E+03,48300
1901,4.72E+04,6.10E+03,48200
1902,7.02E+04,9.80E+03,41500
1903,7.74E+04,3.52E+04,38200
1904,3.63E+04,5.94E+04,40600
1905,2.06E+04,4.17E+04,39800
1906,1.81E+04,1.90E+04,38600
1907,2.14E+04,1.30E+04,42300
1908,2.20E+04,8.30E+03,44500
1909,2.54E+04,9.10E+03,42100
1910,2.71E+04,7.40E+03,46000
1911,4.03E+04,8.00E+03,46800
1912,5.70E+04,1.23E+04,43800
1913,7.66E+04,1.95E+04,40900
1914,5.23E+04,4.57E+04,39400
1915,1.95E+04,5.11E+04,39000
1916,1.12E+04,2.97E+04,36700
1917,7.60E+03,1.58E+04,41800
1918,1.46E+04,9.70E+03,43300
1919,1.62E+04,1.01E+04,41300
1920,2.47E+04,8.60E+03,47300
